base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,FeT,fet,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,PO4 3-,po4 3-,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,S2,s2,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,RS105,rs105,parametre_qualite,type_mesure,à confirmer,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Eh,eh,parametre_qualite,type_mesure,mV,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,NO2-,no2-,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Azote_Total,azote total,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,IBGN,ibgn,parametre_qualite,type_mesure,Indice,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Detergent,detergent,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,TAC,tac,parametre_qualite,type_mesure,mg/L CaCO₃,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,DCO_dec2h,dco dec2h,parametre_qualite,type_mesure,mg O2/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,MO,mo,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,F_M_mes,f m mes,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,sat,sat,parametre_qualite,type_mesure,%,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,NH4,nh4,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,O2_diss,o2 diss,parametre_qualite,type_mesure,mg O2/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Largeur,largeur,parametre_qualite,type_mesure,m,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,PTP,ptp,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Profondeur,profondeur,parametre_qualite,type_mesure,m,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Chla,chla,parametre_qualite,type_mesure,µg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,K,k,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,SF,sf,parametre_qualite,type_mesure,g/L,1,1,0,0,1,,,,,qualite,,,db,
