review_id,review_bucket,source_layer,source_id,source_object_name,source_type,candidate_master_site_id,candidate_site_name,distance_m,match_score,issue_type,suggested_action,reviewer_decision,reviewer_comment,allowed_decisions
54afa4e8-a7e3-4ad1-9261-b27deef41954,ORPHAN_REVIEW,infra.mine,41,,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
f8247bbb-6dea-44e6-9bce-6b65ddd940a0,ORPHAN_REVIEW,infra.mine,42,,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
24099dfc-a8a3-4c57-abca-ce79a9fabd8d,ORPHAN_REVIEW,infra.mine_inventaire_pollution,240d9b88-6e84-4c1d-a578-105427919c46,,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
b2b901fd-b3d0-489a-a419-03ae6144e9df,ORPHAN_REVIEW,infra.mine_inventaire_pollution,6b770e03-98c2-450b-bde5-52d7afd2f7b1,Salt factory,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
45d6ad2d-7448-4e44-9438-5cd453592861,ORPHAN_REVIEW,infra.mine_inventaire_pollution,825a0aeb-4429-42d1-b7e5-cafede78085a,STE SORECH  MINES,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
3f17adfe-ce36-4c81-aca1-aaf2f6cad08a,ORPHAN_REVIEW,infra.mine_inventaire_pollution,d1702768-81c2-4650-91a3-d0467ea4d0eb,STE HERIIERS LAFQUIH 1,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
1a424b29-bbd1-4a4a-ba88-4ff58eb0d757,ORPHAN_REVIEW,infra.rejet_domestique,157,,REJET_DOMESTIQUE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
36c60ba6-f003-447c-bb01-53daddae271c,ORPHAN_REVIEW,infra.rejet_domestique,172,,REJET_DOMESTIQUE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
b6a1a4ab-4f61-4049-9a4b-1fcd7578649e,ORPHAN_REVIEW,infra.rejet_domestique,209,,REJET_DOMESTIQUE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
c8694bdd-ff72-40f7-8e7d-19b98fe1d593,ORPHAN_REVIEW,infra.rejet_domestique,231,,REJET_DOMESTIQUE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
