node_id,geom
128,01010000204F660000C02D211FD06C2041C0D1009E37981A41
129,01010000204F66000000022B47676F1F41802A181537281B41
130,01010000204F66000040F8C224D10F204140C4B16E46B81B41
131,01010000204F66000000BF0E9C5EDC1741000534D164E41841
132,01010000204F660000801B0D60AD411D41405BB17F6E1F1541
133,01010000204F66000000EBE2763CB3194180081B9E77E91C41
134,01010000204F660000801A2F9DD699194180F4DB97B1B81C41
135,01010000204F66000000341136797519418053742481801C41
136,01010000204F660000002DB29DB95A194180F4DBD700F61B41
137,01010000204F660000009D11258F9D1941C0D781F3BBF11C41
138,01010000204F66000080AEB622AEDE17410096B20C6B2F1941
139,01010000204F6600000011C7BAE1CF1F4180C0CAA1311E1E41
140,01010000204F66000040BE55646F40204180EC546680641D41
141,01010000204F66000040211FD419302241C04B37C91E451B41
142,01010000204F66000039C4CE6028E62041DF03F04AA4841841
143,01010000204F660000808CB9ABA9F01D41009A085B3AC41241
144,01010000204F66000080E5D0A2CE5D1E4100BADA8A29A41141
145,01010000204F660000001B9E5E92351E41C06B09B934CE1141
146,01010000204F66000000B5A679BC2D1F41801D3867990A1341
147,01010000204F66000080B3EAF3A3B91E41006F81C426481241
148,01010000204F66000080051254EEDB1E41C0E3149DC52C1241
149,01010000204F660000800D4FEF41581F41C098BB56B53E1341
150,01010000204F66000000575BF1847D1E4140234A7B29121341
151,01010000204F6600008052276074151C4140D49AE62F021441
152,01010000204F66000080E61DA765CD1E4180D2DE2071B11341
153,01010000204F66000080545267BEF11E418026C20674F91241
154,01010000204F660000806B0979F4F11E4180E2C7D8F7831341
155,01010000204F66000000BADA0ACAE91D4180A52C8345711241
156,01010000204F66000080A44E80BFD21D410081950359881241
157,01010000204F660000805BB1BFCBA91E4180711B0D51801341
158,01010000204F6600008058A835E02E1E418093180460361341
159,01010000204F66000000B4597596D41D41806E12031C3F1341
160,01010000204F66000080C2F568A5081E4140696F705B8B1241
161,01010000204F6600000065AAA08BFE1D41803255307D481241
162,01010000204F660000803E575B381A1E418048BFBDDD221241
163,01010000204F6600000087A7973D9C1D410076E0DC03E91241
164,01010000204F66000080923A01837A1D410083C08A62E41241
165,01010000204F66000080779C2279211D41C030992A53F01241
166,01010000204F66000000C6DCB5E2D31C41C010C77AB3111341
167,01010000204F660000003C4E51DF041D4180DD938723F61241
168,01010000204F66000000000000525D1C4100819543EE5D1341
169,01010000204F660000802F4C66134D1C418091ED3CFA841341
170,01010000204F66000080E8486E5EF91B41807CD0B3524F1441
171,01010000204F660000004A7B431D6E1C414050FC98E7441541
172,01010000204F660000805452E7A19D1C4140B6F37D453F1541
173,01010000204F66000000508D57972E1C4140014DC434541541
174,01010000204F66000000B37BF257191C41005A64BB70761541
175,01010000204F66000080158C8AA8651C41400F0BF5CAA81541
176,01010000204F6600000085EB5117CA1A418033A23466FF1441
177,01010000204F660000801B0D20C8A21C4140EF38853A921541
178,01010000204F6600008082514981C71C41009F3C6CB01A1541
