domaine,table_source,table_cible,parametre_source,parametre_canonique,unite,type_metier,entite_geo_type,entite_geo_id,entite_geo_code,entite_geo_nom,champ_rattachement,x,y,geom_present,statut_geo,commentaire,action_recommandee,volume_total,volume_geo_ok,volume_no_ref,volume_no_xy,volume_ambigu,volume_referentiel_manquant
idp,staging.raw_idp_2024_mesures_qualite_globale,,Hg,Hg,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=16 | xy=16,BACKLOG_GEO,16,0,16,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Hg,Hg,,idp_2024,point_pollution,b57c0c10-c128-4389-983e-81325767bcb9,,AVAL REJET INDUSTRIEL MERJA,coord_x/coord_y,392616.0,408748.0,true,GEO_XY_OK,volume=3 | xy=3,MIGRER_AVEC_FLAG,3,3,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,"Huiles
Graisses","Huiles
Graisses",,idp_2024,point_prelevement,,,,coord_x/coord_y,446982.0,441695.0,false,GEO_AMBIGU,volume=20 | xy=20,RATTACHER_MANUELLEMENT,20,0,0,0,20,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,"Huiles
Graisses","Huiles
Graisses",,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=48 | xy=36,BACKLOG_GEO,48,0,48,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,"Huiles
Graisses","Huiles
Graisses",,idp_2024,point_pollution,b57c0c10-c128-4389-983e-81325767bcb9,,AVAL REJET INDUSTRIEL MERJA,coord_x/coord_y,392616.0,408748.0,true,GEO_XY_OK,volume=4 | xy=4,MIGRER_AVEC_FLAG,4,4,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,IP,IP,,idp_2024,point_prelevement,,,,coord_x/coord_y,514759.0,421189.0,false,GEO_NO_REF,volume=6 | xy=6,BACKLOG_GEO,6,0,6,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,IP,IP,,idp_2024,point_eau,bceda482-06c9-4271-978a-76bd70c7cede,,Forage CHELIK Arbi,coord_x/coord_y,410379.0,436981.0,true,GEO_XY_OK,volume=19 | xy=19,MIGRER_AVEC_FLAG,19,19,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,K+,K+,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=74 | xy=74,RATTACHER_MANUELLEMENT,74,0,0,0,74,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,K+,K+,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=70 | xy=58,BACKLOG_GEO,70,0,70,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,K+,K+,,idp_2024,point_eau,bceda482-06c9-4271-978a-76bd70c7cede,,Forage CHELIK Arbi,coord_x/coord_y,410379.0,436981.0,true,GEO_XY_OK,volume=28 | xy=28,MIGRER_AVEC_FLAG,28,28,0,0,0,0
