source_row_id,ire_barrage,date_jr,barrage_id,rn,exclusion_reason
62424,2847/15,2019-05-15,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62434,2847/15,2019-05-16,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62444,2847/15,2019-05-17,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62454,2847/15,2019-05-18,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62464,2847/15,2019-05-19,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62474,2847/15,2019-05-20,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62484,2847/15,2019-05-21,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62494,2847/15,2019-05-22,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62504,2847/15,2019-05-23,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62514,2847/15,2019-05-24,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62524,2847/15,2019-05-25,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
