table_a,id_point_a,x_a,y_a,table_b,id_point_b,x_b,y_b,distance_m,type_match
staging.raw_idp_2024_mesures_qualite_marche_cadre,1902,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1903,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1904,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1905,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1906,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1907,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1908,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1909,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,191,449723.0,470980.0,staging.raw_idp_2024_src_pollution_globale,129,455166.0,465731.0,7561.63,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1910,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1911,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1912,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1913,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1914,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1915,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1916,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1917,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1918,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1919,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,192,449723.0,470980.0,staging.raw_idp_2024_src_pollution_globale,129,455166.0,465731.0,7561.63,distant
